currency,instrument,strike,expiry,time_to_expiry,option_type,spot,mark_iv,bs_delta,bs_gamma,bs_vega,bs_theta,mc_delta,mc_gamma,mc_vega,mc_theta,heston_delta,heston_gamma,heston_vega,heston_theta
ETH,ETH-1MAY26-2450-P,2450.0,2026-05-01 00:00:00+00:00,0.013543933841293382,P,2315.44,0.5422,-0.8022370748107452,0.0018962026308703274,74.71374258777814,-1404.9346805535106,-0.7981169867083968,0.0018275930183090216,79.57208324607592,-1514.1422771121527,-0.7572575491097063,0.0016615367977755194,67.15306695079448,-2046.4581354021982
ETH,ETH-25DEC26-2000-C,2000.0,2026-12-25 00:00:00+00:00,0.6651491444398496,C,2356.71,0.6494,0.7380727769180917,0.0002608549337548374,625.7800936059311,-358.3484129923488,0.7309527342292795,0.00027087793517582576,676.448285167811,-381.7697959761324,0.7730442761619299,0.0003351130390715046,217.60212730930562,-434.34549555091223
ETH,ETH-26JUN26-2000-C,2000.0,2026-06-26 00:00:00+00:00,0.16686240064463076,C,2320.05,0.6322,0.7691310155631931,0.000507795567128915,288.313620231645,-615.6654731576759,0.7625792243049944,0.0005404476627197609,295.5765915199521,-628.6791065085569,0.7899919566722241,0.00043638330460093094,184.70348406710855,-611.6173890830199
ETH,ETH-15MAY26-2500-P,2500.0,2026-05-15 00:00:00+00:00,0.05187335331577814,P,2315.9033,0.5640999999999999,-0.6951669930503465,0.001176185900722203,184.66936880709,-920.5077070770392,-0.6924813707648403,0.0010938593885580147,192.58026765582628,-963.069542539357,-0.6785149780031301,0.001135832778511609,146.48855351368013,-1090.000486296161
ETH,ETH-26MAR27-3700-P,3700.0,2027-03-26 00:00:00+00:00,0.9142927190669126,P,2378.34,0.6420999999999999,-0.6324558355751018,0.00025800256683542404,856.7326459284914,-154.36217041189934,-0.6203594914115245,0.0001690087585968853,870.2170625026497,-159.7514583089628,-0.6422329726420052,0.0003102039816922404,267.49868055825345,-244.50530481407327
ETH,ETH-25SEP26-6000-P,6000.0,2026-09-25 00:00:00+00:00,0.4160051366115928,P,2338.39,0.6723,-0.9718151800618705,6.369826205538968e-05,97.43502433957474,212.8113482320805,-0.9658720532482191,6.399771685672383e-05,103.38571309630424,207.39085978054163,-0.9500031044651154,1.5159183788150761e-05,70.33673799189728,121.63012883087276
ETH,ETH-26JUN26-7400-C,7400.0,2026-06-26 00:00:00+00:00,0.16686185500351738,C,2320.37,0.9146,0.0018969362067816841,6.966276588916423e-06,5.729499030644591,-15.326504912711687,0.0022939553645890264,-1.2372201840746651e-18,7.47535544377968,-20.690161380862378,0.0,0.0,0.0,0.0
ETH,ETH-29MAY26-2350-C,2350.0,2026-05-29 00:00:00+00:00,0.09020295647470024,C,2316.76,0.5898,0.5133613425052452,0.0009713207519594088,277.431551044765,-965.8522901479512,0.5035256403267979,0.0007438666676051741,282.5285555775423,-981.4628943825313,0.5115883512029901,0.0011136593999289284,204.57883576123947,-987.029408175206
ETH,ETH-29MAY26-3600-C,3600.0,2026-05-29 00:00:00+00:00,0.0902027683892628,C,2316.78,0.6551,0.017085805633926924,9.277264320680826e-05,29.421012442114503,-105.30661275530842,0.019590162864845106,7.99357344814912e-05,34.61049636016846,-125.31234423824009,0.022921117274743493,0.00011557947331310926,24.861360370078465,-167.5561087276199
ETH,ETH-31JUL26-2000-C,2000.0,2026-07-31 00:00:00+00:00,0.2626864318180407,C,2327.19,0.6311,0.7487616060876997,0.0004232280060275233,379.97022570093577,-520.2455541067366,0.7405371645584937,0.0004619871857172783,394.5227526229104,-536.6461090861039,0.7786383282821471,0.00042412730225856166,213.15503119182608,-551.2659628847064
ETH,ETH-8MAY26-2400-P,2400.0,2026-05-08 00:00:00+00:00,0.03270867439393363,P,2315.51,0.5490999999999999,-0.6157868119460311,0.0016597918463147469,159.96055777287665,-1289.618246577329,-0.6203167152774053,0.0015486553635885268,165.3927072118961,-1335.6858039742017,-0.5985155399317775,0.0013995584693905932,127.38514733910904,-1553.8187092864835
ETH,ETH-26JUN26-2700-P,2700.0,2026-06-26 00:00:00+00:00,0.1668622923428588,P,2320.06,0.6035,-0.676534569680747,0.0006279532243963895,340.4103910986919,-515.4810172632915,-0.6703311897981922,0.0005912996320213438,353.832152634277,-540.6849723347934,-0.6922254419072854,0.0004684354954789652,234.60935531410883,-526.7133523464465
ETH,ETH-29MAY26-2350-P,2350.0,2026-05-29 00:00:00+00:00,0.09020294971414176,P,2316.75,0.5898,-0.48664837088038554,0.0009713257726258779,277.43057023876645,-848.8687030501728,-0.4950632222201895,0.0007439837649946269,285.3689322829126,-873.9881060354622,-0.48657108591844717,0.0011137496040898283,211.72719322841118,-878.3260203563294
ETH,ETH-29APR26-2275-P,2275.0,2026-04-29 00:00:00+00:00,0.008068562312976906,P,2316.38,0.5009,-0.33425489694743893,0.003475911766835209,75.6070830923818,-2504.4545715902773,-0.3433171982424607,0.0037356518348179053,77.8031531844178,-2576.855639274353,-0.37309039927665494,0.002877789641749022,61.46517599182957,-3475.2632779644878
ETH,ETH-29MAY26-2400-C,2400.0,2026-05-29 00:00:00+00:00,0.09020294251112253,C,2316.75,0.5879,0.46566881932427534,0.0009713898110872347,276.5586555232062,-955.3081110522521,0.45814477018308725,0.0009434381095599657,281.62994833459294,-970.8753983221228,0.46237756803505686,0.0009538449743887949,203.59938472617074,-980.9969547222498
ETH,ETH-26JUN26-3800-C,3800.0,2026-06-26 00:00:00+00:00,0.1668621667168289,C,2320.06,0.6424,0.04299648706496325,0.0001499993702785751,86.54367013449686,-169.27682673701403,0.04724274500424649,7.150017083925946e-05,97.22571211071376,-191.59216862466752,0.0562577728466976,0.0001717319061191231,68.04214753233796,-258.1180981160703
